245,034$d,034$e,034$f,034$g,650,651,520$a
"10$aActive Railroads."," -80.5181"," -74.6170"," 42.2340"," 39.6930","\7$arailroads.$2ISO 19115 Topic Categories|\7$atransportation.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2none","paactiverailroads."
"10$aPennDOT- Pennsylvania Administrative State Roads 201801."," -80.519344"," -74.693209"," 42.267499"," 39.719882","\7$atransportation.$2ISO Metadata Standard 19115.3","\0$aPennsylvania.","PaAdministrativeState_Roads2018_01."
"10$aPennsylvania Breeding Bird Atlas.","-80.5181","-74.617","42.234","39.693","\7$abreeding bird atlas.$2ISO 19115 Topic Categories|\7$abird.$2ISO 19115 Topic Categories|\7$abirds.$2ISO 19115 Topic Categories|\7$aaves.$2ISO 19115 Topic Categories|\7$anesting.$2ISO 19115 Topic Categories|\7$asurvey.$2ISO 19115 Topic Categories|\7$ahabitat.$2ISO 19115 Topic Categories|\7$abiota.$2ISO 19115 Topic Categories|\7$aenvironment.$2ISO 19115 Topic Categories","\0$aUnited States Geological Survey 7.5-minute quadrangles.|\0$aPennsylvania.","pabba1994."
"10$aCoal Mined Areas."," -80.5181"," -74.6170"," 42.2340"," 39.6930","\7$acoal mines.$2ISO 19115 Topic Categories|\7$amining.$2ISO 19115 Topic Categories|\7$asurface coal.$2ISO 19115 Topic Categories|\7$adeep coal.$2ISO 19115 Topic Categories|\7$aGeoscientific Information.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2none","pacoalminedareas."
"10$aPennsylvania Coastal Floodplains."," -80.519500"," -74.721410"," 42.270390"," 39.804980","\7$ainlandWaters.$2ISO 19115 Topic Categories","\0$aPennsylvania.","pacoastalfloodplains."
"10$aPennDOT - Congressional Legislative Boundaries 201801."," -80.519350"," -74.689580"," 42.269480"," 39.719860","\7$aboundaries.$2ISO 19115 Topic Categories|\7$acongressional.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PaCongressional2018_01."
"10$aPennsylvania Ecoregions."," -80.526050"," -74.697200"," 42.267330"," 39.719310","\7$aenvironment.$2ISO 19115 Topic Categories",,"paecoregions."
"10$aPennDOT - Pennsylvania Engineering District Boundaries 201801."," -80.519349"," -74.689583"," 42.269479"," 39.719860","\7$aculture.$2ISO 19115 Topic Categories|\7$aboundaries.$2ISO 19115 Topic Categories|\7$aadministrative units.$2ISO 19115 Topic Categories|\7$aPennDOT engineering districts.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PaEngrDistrict2018_01."
"10$aBoundaries of exceptional value watersheds."," -80.5181"," -74.6170"," 42.2340"," 39.6930","\7$aexceptional value watersheds.$2ISO 19115 Topic Categories|\7$astreams.$2ISO 19115 Topic Categories|\7$awatersheds.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2none|\7$aWeirs Pond.$2none|\7$aJohnson Brook.$2none|\7$aWildcat Run.$2none|\7$aSlater Run.$2none|\7$aLacey Run.$2none|\7$aArnot Run.$2none|\7$aEast Hickory Creek.$2none|\7$aNickel Run.$2none|\7$aEast Fork Sinnemahoning.$2none|\7$aStoney Lick Run.$2none|\7$aLong Run.$2none|\7$aElk Fork Crane Run.$2none|\7$aBirch Run.$2none|\7$aOviatt Branch.$2none|\7$aRight Branch.$2none|\7$aCard Hollow.$2none|\7$aApple Tree Run.$2none|\7$aBear Run.$2none|\7$aTwelve Hollow.$2none|\7$aEleven Hollow.$2none|\7$aBailey Run.$2none|\7$aRight Branch Run.$2none|\7$aBlack Mark Hollow.$2none|\7$aDry Hollow.$2none|\7$a4 Mile Run.$2none|\7$aPost Hollow.$2none|\7$aAl Wright Hollow.$2none|\7$aLushbaugh Run.$2none|\7$aNoon Branch.$2none|\7$aWolf Run.$2none|\7$aBrewer Fork.$2none|\7$aLock Branch.$2none|\7$aJohn Summerson Branch.$2none|\7$aPeachtree Hollow.$2none|\7$aGibson Hollow.$2none|\7$aEagle Run.$2none|\7$aKetchum Run.$2none|\7$aBig Basin.$2none|\7$aRakestraw Hollow.$2none|\7$aShannersburg Run.$2none|\7$aKettle Creek.$2none|\7$aSawkill Sloat Run.$2none|\7$aCider Run.$2none|\7$aDeep Brook.$2none|\7$aSorber Run.$2none|\7$aElklick Run.$2none|\7$aLick Run.$2none|\7$aCooks Run.$2none|\7$aBearfield.$2none|\7$aGallows Run.$2none|\7$aElk Run.$2none|\7$aHog Run.$2none|\7$aWest Branch.$2none|\7$aBig Run.$2none|\7$aByrnes Run.$2none|\7$aAumen Hollow.$2none|\7$aBoggs Hollow.$2none|\7$aShingle Mill.$2none|\7$aBear Wallow.$2none|\7$aDennison Run.$2none|\7$aMix Run.$2none|\7$aDeible Run.$2none|\7$aBarney Run.$2none|\7$aHammersly Fork.$2none|\7$aSouth Branch.$2none|\7$aPendleton Run.$2none|\7$aMcCanna Run.$2none|\7$aBlyson Run.$2none|\7$aShippen Run.$2none|\7$aFish Dam Run.$2none|\7$aProctor Hollow.$2none|\7$aCraft Run.$2none|\7$aPacker Fork.$2none|\7$aOwl Run.$2none|\7$aFrame Cabin Run.$2none|\7$aTwelve Mile Run.$2none|\7$aFirst Fork.$2none|\7$aYost Run.$2none|\7$aKyer Fork.$2none|\7$aCross Keys Run.$2none|\7$aRattlesnake Creek.$2none|\7$aDevils Hole Creek.$2none|\7$aMill Creek.$2none|\7$aCole Run.$2none|\7$aPoplar Run.$2none|\7$aPanther Run.$2none|\7$aTwo Rock Run.$2none|\7$aSand Spring Run.$2none|\7$aWolf Swamp.$2none|\7$aHayes Run.$2none|\7$aSilver Creek.$2none|\7$aRock Run.$2none|\7$aCherry Run.$2none|\7$aYellow Run.$2none|\7$aStoney Creek.$2none|\7$aWild Creek.$2none|\7$aCross Run.$2none|\7$aBuck Mountain.$2none|\7$aWallace Run.$2none|\7$aHell Run.$2none|\7$aSide Hollow Run.$2none|\7$aRoaring Spring.$2none|\7$aBenner Run.$2none|\7$aBlack Bear Run.$2none|\7$aDeep Run.$2none|\7$aCherry Run.$2none|\7$aWhite Bear Creek.$2none|\7$aRogues Harbor Run.$2none|\7$aCooks Creek.$2none|\7$aFishing Creek.$2none|\7$aNorthkill Creek.$2none|\7$aSacony.$2none|\7$aLittle Sacony.$2none|\7$aPine Creek.$2none|\7$aTrout Run.$2none|\7$aPowdermill Run.$2none|\7$aBaldwin Creek.$2none|\7$aTubmill Creek.$2none|\7$aSegloch Run.$2none|\7$aElders Run.$2none|\7$aLaurel Run.$2none|\7$aFurnace Run.$2none|\7$aCarbaugh Run.$2none|\7$aPiney Run.$2none|\7$aJones Mill.$2none|\7$aBlue Hole.$2none|\7$aBroad Run.$2none|\7$aWhite Clay Branch.$2none|\7$aKnob Springs.$2none|\7$aQuebec Run.$2none|\7$aJordan Run.$2none|\7$aBlack Run.$2none|\7$aBarren Brook.$2none|\7$aOctorara Run.$2none","paexceptionalvaluewatersheds."
"10$aPA HAZUS.","-80.51934","-74.69392","42.26501","39.71987","\7$ainlandWaters.$2ISO 19115 Topic Categories|\7$aflood.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PAhazus."
"10$aPennDOT - Pennsylvania House Boundaries."," -80.519349"," -74.689583"," 42.269479"," 39.719860","\7$aboundaries.$2ISO 19115 Topic Cateories|\7$astate house.$2ISO 19115 Topic Cateories","\0$aPennsylvania.","PaHouse2018_01."
"10$aInactive Railroads."," -80.5181"," -74.6170"," 42.2340"," 39.6930","\7$ainactive railroads.$2ISO 19115 Topic Categories|\7$aTransportation.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2none","painactiverailroads."
"10$aPennDOT - Intermodal."," -80.519350"," -74.689580"," 42.269480"," 39.719860","\7$atransportation.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PaIntermodal2017_01."
"10$aPennDOT - Interstate Highway Exits."," -80.519253"," -74.693209"," 42.252717"," 39.721093","\7$atransportation.$2ISO Metadata Standard 19115.3|\7$aexits.$2ISO Metadata Standard 19115.3","\0$aPennsylvania.","PAInterstateHighwayExits2018_01."
"10$aPennDOT- Pennsylvania Interstate Mile Markers."," -80.519344"," -74.693209"," 42.267499"," 39.719882","\7$atransportation.$2ISO Metadata Standard 19115.3","\0$aPennsylvania.","PaInterstateMileMarkers2018_01."
"10$aDigital Orthophoto Production for Flood Assessment of the Juniata and Susquehanna Rivers in Pennsylvania.","-078.285524","-076.993583","+40.636944","+40.207967","\7$aDigital Orthophotography.$2ISO 19115 Topic Categories|\7$aAerotriangulation.$2ISO 19115 Topic Categories|\7$aDTM.$2ISO 19115 Topic Categories|\7$aImagery/Base Maps/Earth Cover.$2ISO 19115 Topic Categories","\0$aUnited States of America (USA)|\0$aState of Pennsylvania.|\0$aJuniata River.|\0$aSusquehanna River.","paivanflood2004."
"10$aPennsylvania Land Cover, 2000."," -80.627750"," -74.534949"," 42.317831"," 39.640423","\7$aLand Use/Land Cover.$2ISO 19115 Topic Categories|\7$aImagery/Base Maps/Earth Cover.$2ISO 19115 Topic Categories",,"palanduse2000."
"10$aPennDOT - Pennsylvania local roads."," -80.519340"," -74.693920"," 42.265010"," 39.719870","\7$atransportation.$2ISO 19115 Topic Categories",,"PaLocalRoads2018_01."
"10$aMajor watershed boundaries for Pennsylvania conservation gap analysis.","-80.5181","-74.6170","42.2340","39.6930","\7$awatersheds.$2ISO 19115 Topic Categories|\7$ahydrography.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2none","PaMajorRiverBasins."
"10$aPennsylvania Major Rivers 1996."," -80.541800"," -74.687900"," 42.269500"," 39.719890","\7$amajor rivers.$2ISO 19115 Topic Categories|\7$arivers.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2none","pamajorrivers1996."
"10$aMajor watershed boundaries for Pennsylvania conservation gap analysis.","-80.5181","-74.6170","42.2340","39.6930","\7$awatersheds.$2ISO 19115 Topic Categories|\7$ahydrography.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2none","pamajrbasin."
"10$aPAMAP Program LiDAR Processing/Contour Enhancement Lines of Pennsylvania.","-76.073628","-76.036594","41.197361","41.169383","\7$aDEM.$2ISO 19115 Topic Categories|\7$acontours.$2ISO 19115 Topic Categories|\7$atopography.$2ISO 19115 Topic Categories|\7$aLiDAR.$2ISO 19115 Topic Categories|\7$abreaklines.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PAMAP_Breaklines."
"10$aPAMAP Program Topographic Contours (2 ft Interval) of Pennsylvania.","-78.033162","-77.996988","40.715318","40.687788","\0$aDEM.|\0$acontours.|\0$atopography.|\0$aLiDAR.","\0$aPennsylvania.|\0$aCentre County.|\0$aClearfield County.","PAMAP_Contours."
"10$aPAMAP Program - County Mosaics 2003 - 2006.",,,,,"\7$adigital orthophoto.$2ISO 19115 Topic Categories|\7$adigital image map.$2ISO 19115 Topic Categories|\7$aaerial photograph.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories|\7$aDTM/DEM.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PAMAP_CountyMosaics."
"10$aPAMAP Program - County Mosaics 2007.",,,,,"\7$adigital orthophoto.$2ISO 19115 Topic Categories|\7$adigital image map.$2ISO 19115 Topic Categories|\7$aaerial photograph.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories|\7$aDTM/DEM.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PAMAP_CountyMosaicsCycle2."
"10$aPAMAP Program Cycle 1 High Resolution Orthoimage 2003 - 2006.","-80.526526","-74.6904","42.26775","39.7014","\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories|\7$anatural color orthophoto.$2ISO 19115 Topic Categories|\7$aorthoimage.$2ISO 19115 Topic Categories|\7$aimage map.$2ISO 19115 Topic Categories|\7$aImagery/Base Maps/Earth Cover.$2ISO 19115 Topic Categories",,"PAMAP_cycle1."
"10$aPAMAP cycle2.","-78.810999","-78.775046","39.713045","39.685272","\0$adigital orthophoto.|\0$adigital image map.|\0$aaerial photograph.|\0$arectified photograph.|\0$arectified image.|\0$aorthophoto.|\0$aDEM.|\0$aLiDAR.|\0$aDMC.|\0$aDigital Mapping Camera.|\0$aImagery/Base Maps/Earth Cover.|\0$aimageryBaseMapsEarthCover.","\0$aPennsylvania.|\0$aAdams County.|\0$aBedford County.|\0$aCumberland County.|\0$aFranklin County.|\0$aFulton County.|\0$aHuntingdon County.|\0$aJuniata County.|\0$aMifflin County.|\0$aPerry County.","PAMAP_cycle2."
"10$aPAMAP Program 3.2 ft Digital Elevation Model of Pennsylvania.","-76.073628","-76.036594","41.197361","41.169383","\7$aDEM.$2ISO 19115 Topic Categories|\7$atopography.$2ISO 19115 Topic Categories|\7$aLiDAR.$2ISO 19115 Topic Categories|\7$araster grid.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PAMAP_DEM."
"10$aMosaics of PAMAP DEMs by PAMAP Lidar Delivery Zones.","-80.519140","-74.689450","42.269530","39.719950","\7$aDEM.$2ISO 19115 Topic Categories|\7$atopography.$2ISO 19115 Topic Categories|\7$aLiDAR.$2ISO 19115 Topic Categories|\7$araster grid.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PAMAP_DEMmosaics."
"10$aPAMAP Program I-Cubed Pennsylvania 2010.","-78.444103","-75.388376","42.060385","40.664633","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories|\7$anatural color orthophoto.$2ISO 19115 Topic Categories|\7$aorthoimage.$2ISO 19115 Topic Categories|\7$aimage map.$2ISO 19115 Topic Categories","\0$aUnited States, Southwest and Northeast Region of the State of Pennsylvania, Bradford, Susquehanna, Wyoming, Sullivan, Lycoming, Clinton, Centre, Allegheny, Washington, Greene.","PAMAP_iCubed_2010."
"10$aPAMAP Program I-Cubed Pennsylvania 2010 - TILE INDEX.","-78.444103","-75.388376","42.060385","40.664633","\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$arectified photograph.$2ISO 19115 Topic Categories|\7$arectified image.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories|\7$anatural color orthophoto.$2ISO 19115 Topic Categories|\7$aorthoimage.$2ISO 19115 Topic Categories|\7$aimage map.$2ISO 19115 Topic Categories","\0$aUnited States, Southwest and Northeast Region of the State of Pennsylvania, Bradford, Susquehanna, Wyoming, Sullivan, Lycoming, Clinton, Centre, Allegheny, Washington, Greene.","PAMAP_iCubed2010_TileIndex."
"10$aPAMAP Program LAS Files (LiDAR Data of Pennsylvania)"," -78.938"," -77.142"," 41.643"," 40.240","\7$aDEM.$2ISO 19115 Topic Categories|\7$aLiDAR.$2ISO 19115 Topic Categories|\7$aLAS.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCo.$2ISO 19115 Topic Categories|\7$aelevation.$2ISO 19115 Topic Categories","\0$aPennsylvania.|\0$aCameron County.|\0$aCentre County.|\0$aClearfield County.|\0$aElk County.|\0$aBlair County.|\0$aCambria County.|\0$aJefferson County.|\0$aIndiana County.","pamap_lidar_LAS."
"10$aPAMAP - Roads."," -80.616760"," -74.619687"," 42.280864"," 39.666287","\0$aRoads.|\0$aTransportation.","\0$aPennsylvania.","PAMAP_Roads2007."
"10$aPAMAP Program Spatial Energy 2011.","-79.20","-76.71","42.13","40.62","\7$adigital mapping.$2ISO 19115 Topic Categories|\7$aphotogrammetry.$2ISO 19115 Topic Categories|\7$aorthophotography.$2ISO 19115 Topic Categories|\7$aaerial photography.$2ISO 19115 Topic Categories|\7$adigital imagery.$2ISO 19115 Topic Categories|\7$aremote sensing.$2ISO 19115 Topic Categories|\7$aimageryBaseMapsEarthCover.$2ISO 19115 Topic Categories|\7$apamap.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2State|\7$a$2State","PAMAP_SpatialEnergy_2011."
"10$aPAMAP Tile Index - North 2006."," -80.575260"," -74.646200"," 42.290360"," 40.601900","\7$atile.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories|\7$agrid.$2ISO 19115 Topic Categories|\7$aPAMAP Index.$2ISO 19115 Topic Categories|\7$aImagery/Base Maps/Earth Cover.$2ISO 19115 Topic Categories","\0$aPennsylvania.","pamaptileindexnorth2006."
"10$aPAMAP Tile Index - South 2006."," -80.614078"," -74.657267"," 41.199895"," 39.650163","\7$atile.$2ISO 19115 Topic Categories|\7$aorthophoto.$2ISO 19115 Topic Categories|\7$agrid.$2ISO 19115 Topic Categories|\7$aPAMAP Index.$2ISO 19115 Topic Categories|\7$aImagery/Base Maps/Earth Cover.$2ISO 19115 Topic Categories","\0$aPennsylvania.","pamaptileindexsouth2006."
"10$aPennDOT - Pennsylvania Municipality boundaries."," -80.519349"," -74.689583"," 42.269479"," 39.719860","\7$aboundaries.$2ISO 19115 Topic Categories|\7$acongressional.$2ISO 19115 Topic Categories|\7$amunicipal boundaries.$2ISO 19115 Topic Categories|\7$atownship.$2ISO 19115 Topic Categories|\7$aborough.$2ISO 19115 Topic Categories|\7$acity.$2ISO 19115 Topic Categories|\7$atown.$2ISO 19115 Topic Categories","\0$aPennsylvania.","PaMunicipalities2017_01."
"10$aNational Elevation Dataset for Pennsylvania.","-77.471603","-76.958397","40.069698","39.719891","\7$a7.5-MINUTE DEM.$2ISO 19115 Topic Categories|\7$aCARTOGRAPHY.$2ISO 19115 Topic Categories|\7$aDEM.$2ISO 19115 Topic Categories|\7$aDIGITAL ELEVATION MODEL.$2ISO 19115 Topic Categories|\7$aDIGITAL MAPPING.$2ISO 19115 Topic Categories|\7$aEARTH SCIENCE.$2ISO 19115 Topic Categories|\7$aEDC.$2ISO 19115 Topic Categories|\7$aEROS.$2ISO 19115 Topic Categories|\7$aGEODATA.$2ISO 19115 Topic Categories|\7$aGIS.$2ISO 19115 Topic Categories|\7$aLAND SURFACE.$2ISO 19115 Topic Categories|\7$aLANDFORMS.$2ISO 19115 Topic Categories|\7$aMAPPING.$2ISO 19115 Topic Categories|\7$aRASTER.$2ISO 19115 Topic Categories|\7$aTERRAIN ELEVATION.$2ISO 19115 Topic Categories|\7$aTOPOGRAPHY.$2ISO 19115 Topic Categories|\7$aUSGS.$2ISO 19115 Topic Categories|\7$aElevation.$2ISO 19115 Topic Categories","\7$aPennsylvania.$2GCMD Location Keywords","paned."
"10$aNational Hydrography Dataset (NHD) - High-resolution: area features."," -82.715370"," -73.999580"," 43.373860"," 37.000140","\7$aFWHYDROGRAPHY.$2ISO 19115 Topic Categories|\7$aHydrography.$2ISO 19115 Topic Categories|\7$aStream / River.$2ISO 19115 Topic Categories|\7$aLake / Pond.$2ISO 19115 Topic Categories|\7$aCanal / Ditch.$2ISO 19115 Topic Categories|\7$aReservoir.$2ISO 19115 Topic Categories|\7$aSpring / Seep.$2ISO 19115 Topic Categories|\7$aSwamp / Marsh.$2ISO 19115 Topic Categories|\7$aArtificial Path.$2ISO 19115 Topic Categories|\7$aReach Code.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","panhdareahires."
"10$aNational Hydrography Dataset (NHD) - Medium-resolution - NHDFlowline - PA clipped."," -75.62"," -72.91"," 44.20"," 40.99","\7$aFWHYDROGRAPHY.$2ISO 19115 Topic Categories|\7$aHydrography.$2ISO 19115 Topic Categories|\7$aStream / River.$2ISO 19115 Topic Categories|\7$aLake / Pond.$2ISO 19115 Topic Categories|\7$aCanal / Ditch.$2ISO 19115 Topic Categories|\7$aReservoir.$2ISO 19115 Topic Categories|\7$aSpring / Seep.$2ISO 19115 Topic Categories|\7$aSwamp / Marsh.$2ISO 19115 Topic Categories|\7$aArtificial Path.$2ISO 19115 Topic Categories|\7$aReach Code.$2ISO 19115 Topic Categories|\7$aInland Waters.$2ISO 19115 Topic Categories","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of sovereignty, and their principal administative divisions (Federal Information Processing Standard 10-3): Washington, D.C., National Institute of Standards and Technology.","panhdstreams."
"10$aNational Hydrography Dataset (NHD) - High resolution: flowline features."," -82.820100"," -74.029870"," 43.376570"," 37.843240","\7$aFWHYDROGRAPHY.$2ISO 19115 Topic Categories|\7$aHydrography.$2ISO 19115 Topic Categories|\7$aStream / River.$2ISO 19115 Topic Categories|\7$aLake / Pond.$2ISO 19115 Topic Categories|\7$aCanal / Ditch.$2ISO 19115 Topic Categories|\7$aReservoir.$2ISO 19115 Topic Categories|\7$aSpring / Seep.$2ISO 19115 Topic Categories|\7$aSwamp / Marsh.$2ISO 19115 Topic Categories|\7$aArtificial Path.$2ISO 19115 Topic Categories|\7$aReach Code.$2ISO 19115 Topic Categories|\7$aInland Waters.$2ISO 19115 Topic Categories","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","panhdstreamsires."
"10$aNational Hydrography Dataset (NHD) - High-resolution: flowline features clipped to PA state border."," -80.519330"," -74.689580"," 42.267720"," 39.719870","\7$aFWHYDROGRAPHY.$2ISO 19115 Topic Categories|\7$aHydrography.$2ISO 19115 Topic Categories|\7$aStream / River.$2ISO 19115 Topic Categories|\7$aLake / Pond.$2ISO 19115 Topic Categories|\7$aCanal / Ditch.$2ISO 19115 Topic Categories|\7$aReservoir.$2ISO 19115 Topic Categories|\7$aSpring / Seep.$2ISO 19115 Topic Categories|\7$aSwamp / Marsh.$2ISO 19115 Topic Categories|\7$aArtificial Path.$2ISO 19115 Topic Categories|\7$aReach Code.$2ISO 19115 Topic Categories|\7$aInland Waters.$2ISO 19115 Topic Categories","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","panhdstreamsiresclipped."
"10$aNational Hydrography Dataset (NHD) - Medium-resolution - NHDWaterbody - PA clipped."," -75.62"," -72.91"," 44.20"," 40.99","\7$aFWHYDROGRAPHY.$2ISO 19115 Topic Categories|\7$aHydrography.$2ISO 19115 Topic Categories|\7$aStream / River.$2ISO 19115 Topic Categories|\7$aLake / Pond.$2ISO 19115 Topic Categories|\7$aCanal / Ditch.$2ISO 19115 Topic Categories|\7$aReservoir.$2ISO 19115 Topic Categories|\7$aSpring / Seep.$2ISO 19115 Topic Categories|\7$aSwamp / Marsh.$2ISO 19115 Topic Categories|\7$aArtificial Path.$2ISO 19115 Topic Categories|\7$aReach Code.$2ISO 19115 Topic Categories|\7$aInland Waters.$2ISO 19115 Topic Categories","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of sovereignty, and their principal administative divisions (Federal Information Processing Standard 10-3): Washington, D.C., National Institute of Standards and Technology.","panhdwaterbodies."
"10$aNational Hydrography Dataset (NHD) - High-resolution: waterbody features."," -82.811130"," -74.034110"," 43.400850"," 37.083530","\7$aFWHYDROGRAPHY.$2ISO 19115 Topic Categories|\7$aHydrography.$2ISO 19115 Topic Categories|\7$aStream / River.$2ISO 19115 Topic Categories|\7$aLake / Pond.$2ISO 19115 Topic Categories|\7$aCanal / Ditch.$2ISO 19115 Topic Categories|\7$aReservoir.$2ISO 19115 Topic Categories|\7$aSpring / Seep.$2ISO 19115 Topic Categories|\7$aSwamp / Marsh.$2ISO 19115 Topic Categories|\7$aArtificial Path.$2ISO 19115 Topic Categories|\7$aReach Code.$2ISO 19115 Topic Categories|\7$aInland Waters.$2ISO 19115 Topic Categories","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of special sovereignty, and their principal administrative divisions (Federal Information Processing Standards 10-3): Washington, D.C., National Institute of Standards and Technology.","panhdwaterbodieshires."
"10$aNational Hydrography Dataset (NHD) - Medium-resolution - NHDWatersheds - PA clipped."," -80.519810"," -74.691100"," 42.269500"," 39.719890","\7$aFWHYDROGRAPHY.$2ISO 19115 Topic Categories|\7$aHydrography.$2ISO 19115 Topic Categories|\7$aStream / River.$2ISO 19115 Topic Categories|\7$aLake / Pond.$2ISO 19115 Topic Categories|\7$aCanal / Ditch.$2ISO 19115 Topic Categories|\7$aReservoir.$2ISO 19115 Topic Categories|\7$aSpring / Seep.$2ISO 19115 Topic Categories|\7$aSwamp / Marsh.$2ISO 19115 Topic Categories|\7$aArtificial Path.$2ISO 19115 Topic Categories|\7$aReach Code.$2ISO 19115 Topic Categories|\7$aInland Waters.$2ISO 19115 Topic Categories","\7$aUS.$2U.S. Department of Commerce, 1977, Countries, dependencies, areas of sovereignty, and their principal administative divisions (Federal Information Processing Standard 10-3): Washington, D.C., National Institute of Standards and Technology.","panhdwatersheds."
"10$aNational Wetlands Inventory for Pennsylvania - line."," -80.519285"," -74.706430"," 42.263472"," 39.719931","\7$awetlands.$2ISO 19115 Topic Categories|\7$ahydrologic.$2ISO 19115 Topic Categories|\7$aland cover.$2ISO 19115 Topic Categories|\7$asurface and manmade features.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories|\7$abiota.$2ISO 19115 Topic Categories","\0$aPennsylvania.","panwiline."
"10$aNational Wetlands Inventory for Pennsylvania - point."," -80.518180"," -75.034220"," 42.234800"," 39.721180","\7$awetlands.$2ISO 19115 Topic Categories|\7$ahydrologic.$2ISO 19115 Topic Categories|\7$aland cover.$2ISO 19115 Topic Categories|\7$asurface and manmade features.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories|\7$abiota.$2ISO 19115 Topic Categories","\0$aPennsylvania.","panwipoint."
"10$aNational Wetlands Inventory for Pennsylvania - polygon."," -80.519349"," -74.689583"," 42.269479"," 39.719860","\7$awetlands.$2ISO 19115 Topic Categories|\7$ahydrologic.$2ISO 19115 Topic Categories|\7$aland cover.$2ISO 19115 Topic Categories|\7$asurface and manmade features.$2ISO 19115 Topic Categories|\7$ainlandWaters.$2ISO 19115 Topic Categories|\7$abiota.$2ISO 19115 Topic Categories","\0$aPennsylvania.","panwipolygon."
"10$aOil and gas fields in Pennsylvania."," -80.5181"," -74.6170"," 42.2340"," 39.6930","\7$aoil fields.$2Library of Congress Subject Headings|\7$agas fields.$2Library of Congress Subject Headings|\7$aEnvironment.$2Library of Congress Subject Headings","\7$aPennsylvania.$2none","paoilgasfields."
"10$aOil and gas wells in Pennsylvania."," -80.5181"," -74.6170"," 42.2340"," 39.6930","\7$aoil wells.$2Library of Congress Subject Headings|\7$agas wells.$2Library of Congress Subject Headings|\7$aEnvironment.$2Library of Congress Subject Headings","\7$aPennsylvania.$2none","paoilgaswells."
