Title,Alternative Title,Description,Language,Creator,Publisher,Genre,Subject,Keyword,Date Issued,Temporal Coverage,Date Range,Solr Year,Spatial Coverage,Bounding Box,Type,Geometry Type,Format,Information,Download,Map Server,Feature Server,Image Server,Identifier,Slug,Provenance,Code,Is Part Of,Status,Accural Method,Date Accessioned,Rights,Access Rights,Suppressed,Child
,Cooling Centers - District of Columbia,"When the temperature or heat index in the District reaches 95 degrees, District Government will implement the Heat Emergency Plan and activate cooling centers for residents to seek relief. Due to COVID-19, there have been modifications to available cooling centers in the District. Persons in need of transportation to a cooling center should call 202-399-7093 or dial 311. Updates and changes are included below.Summer feeding sites are currently unavailable for cooling.Pools and spray parks are closed until further notice.",English,"City of Washington, DC","Washington, District of Columbia",Geospatial data,,Cooling Centers|Heat Emergency|recreation centers|public libraries|schools|temperature|weather|dc|district of columbia|washington dc,2020-06-16T17:52:42.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1044,38.826,-76.9122,38.9803",Dataset|Service,Vector,Shapefile,http://opendata.dc.gov/datasets/bd51c0c373d844fa9654a7a02da23d6f_0,"http://opendata.dc.gov/datasets/bd51c0c373d844fa9654a7a02da23d6f_0.zip?outSR={""latestWkid"":6488,""wkid"":103069}",,https://services.arcgis.com/neT9SoYxizqTHZPH/arcgis/rest/services/Cooling_Centers_2020_Viewing/FeatureServer/0,,bd51c0c373d844fa9654a7a02da23d6f_0,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
,DC COVID-19 Child and Family Services Agency,"District of Columbia Child and Family Services Agency testing for the number of positive tests, quarantined, returned to work and deaths. Due to rapidly changing nature of COVID-19, data for March 2020 is limited.General Guidelines for Interpreting Disease Surveillance DataDuring a disease outbreak, the health department will collect, process, and analyze large amounts of information to understand and respond to the health impacts of the disease and its transmission in the community. The sources of disease surveillance information include contact tracing, medical record review, and laboratory information, and are considered protected health information. When interpreting the results of these analyses, it is important to keep in mind that the disease surveillance system may not capture the full picture of the outbreak, and that previously reported data may change over time as it undergoes data quality review or as additional information is added. These analyses, especially within populations with small samples, may be subject to large amounts of variation from day to day. Despite these limitations, data from disease surveillance is a valuable source of information to understand how to stop the spread of COVID19.",English,"GIS Data Coordinator, D.C. Office of the Chief Technology Officer , GIS Data Coordinator","Washington, District of Columbia",,,cfsa|child services|coronavirus|covid-19|dc|district of columbia|family|health|human|washington dc,2020-06-02T16:49:38.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1196,38.7915,-76.909,38.9959",,,,http://opendata.dc.gov/datasets/a1d847993ed24acdae23a8afc07008f2_16,,,https://em.dcgis.dc.gov/dcgis/rest/services/COVID_19/OpenData_COVID19/FeatureServer/16,,a1d847993ed24acdae23a8afc07008f2_16,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
,DC Office of Tax and Revenue: Real Property Assessment Search Map,"The main purposes of this online mapare1. todemonstrate theWeb-BasedGeographic Information System (GIS)in the District of Columbia Office of Tax and Revenue (OTR) Real Property Tax Administration (RPTA), and 2.to share detailed real property data and information to real property owners, the public, and other government entities. The rich map and interactive application include relevantreal property valuation contributing map layers, links to original source agencies, and a variety of search, query, and analysisoptions to meet the needs of a wide user base. The location and links to the original DC Boundary Stones add a fun, historical,and educational component.The Office of the Chief Financial Officer, DC Office of Tax and Revenue (OTR), Real Property Assessment Division values all real property in the District of Columbia.The publicinteractive onlineDC Office of Tax and Revenue Real Property Assessment Lot Map Search application accompanies the OTRTax Payer Service Center and may be used to search for and view allreal property, related assessment areas, assessment data,and detailedassessment information.",English,"City of Washington, DC","Washington, District of Columbia",,,DC|OTR|DC Tax and Revenue|Real Property|Real Property Assessment|assessors map|assessment|assessment neighborhood area|cadastral|real property tax administration,2017-04-05T14:10:01.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.2278,38.812,-76.8062,38.9961",,,,http://opendata.dc.gov/datasets/05eb3c0dc6a84b229f38b7c27c43ce26,,,,,05eb3c0dc6a84b229f38b7c27c43ce26,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
,DC Office of Tax and Revenue Real Property Assessment Map,"The DC Office of the Chief Financial Officer, Office of Tax and Revenue (OTR), Real Property Assessment Division values all real property in the District of Columbia.The publicinteractive onlineDC Office of Tax and Revenue Real Property Assessment Map Application accompanies the OTRTax Payer Service Centerand may be used to search for and view allreal property,assessment data,related assessment areas, and detailedassessment information.",English,"DC Office of Tax and Revenue, Real Property Assessment Division","Washington, District of Columbia",,,OTR|RPTA|Real Property|Real Property Assessment|property ownership|Air Rights|RPTA GIS|OTR GIS|DC Tax and Revenue|cadastral|land management|OCFO,2016-09-08T17:47:13.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.1645,38.7851,-76.8857,39.0341",,,,http://opendata.dc.gov/datasets/9a5c11c11dd347cc9c05d64499cc98ee,,,,,9a5c11c11dd347cc9c05d64499cc98ee,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
,Cherry BLOOMFEST,"In Spring of 2019, DCOP staff took various pictures of Cherry Blossoms throughout the city. The OP Data Analysis and Visualization team created a story map featuring these photos and maps highlighting the areas where the photos were collected.",English,"City of Washington, DC","Washington, District of Columbia",,,Story Map|Cascade,2019-06-12T16:45:49.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.2258,38.7867,-76.8125,39.0009",,,,http://opendata.dc.gov/datasets/5af7fef2610a40bc92e457f132ca380d,,,,,5af7fef2610a40bc92e457f132ca380d,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
,DC Office of Tax and Revenue: Real Property Assessment Search Map,,English,"City of Washington, DC","Washington, District of Columbia",,,DC|OTR|DC Tax and Revenue|Real Property|Real Property Assessment|assessors map|assessment|assessment neighborhood area|cadastral|real property tax administration|Census Blocks,2020-06-23T17:54:04.000Z,,,,"Washington, District of Columbia|District of Columbia|Maryland|Virginia","-77.2258,38.7867,-76.8125,39.0009",,,,http://opendata.dc.gov/datasets/34e47e7bf7554eb187b92713b0578074,,,,,34e47e7bf7554eb187b92713b0578074,,Maryland,04c-01,04c-01,active,ArcGIS Hub,,Public,,FALSE,
,2019 Receipts & Disbursements,"This is a data set of the City of South Bend's receipts and disbursements from 2019 broken down by revenue and expense accounts on a monthly basis.It includes the following data:Fund: Fund means ""cash"" or a group of accounts set aside for the purpose of accounting for moneys or other resources of general functions or specific activities such as utilities, construction projects or other activities of a city or town in accordance with a system of accounts prescribed y the State Board of Accounts or as required by statute.Department: The organizational unit typically classified by the functions or services performed by the unit.Division: The organizational unit of a department. Some departments only have one division.Subdivision: A further breakdown of the divisions within a department. Some departments have only one subdivision.Main Account: The type of general ledger account for transaction and reporting purposes.Account Type: A unique place in the general ledger that is used for recording a dollar balance along with a history of changes to that balance.GL Account: General ledger account number.This information is current as of December 31, 2019.",English,City of South Bend,"South Bend, Indiana",,,Finance|Receipts|Disbursements|Accounts|Revenue|Expense,2020-06-09T15:55:10.000Z,,,,"South Bend, Indiana|Ohio","-86.498,41.529,-86.035,41.782",,,,http://data-southbend.opendata.arcgis.com/datasets/5f988eacad554626adaf43f5d7e0056b_0,,,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/2019_Receipts_Disbursements/FeatureServer/0,,5f988eacad554626adaf43f5d7e0056b_0,,Purdue,09c-01,09c-01,active,ArcGIS Hub,,Public,,FALSE,
,2018 Receipts & Disbursements,"This is a data set of the City of South Bend's receipts and disbursements from 2018 broken down by revenue and expense accounts on a monthly basis.It includes the following data:Fund: Fund means ""cash"" or a group of accounts set aside for the purpose of accounting for moneys or other resources of general functions or specific activities such as utilities, construction projects or other activities of a city or town in accordance with a system of accounts prescribed y the State Board of Accounts or as required by statute.Department: The organizational unit typically classified by the functions or services performed by the unit.Division: The organizational unit of a department. Some departments only have one division.Subdivision: A further breakdown of the divisions within a department. Some departments have only one subdivision.Main Account: The type of general ledger account for transaction and reporting purposes.Account Type: A unique place in the general ledger that is used for recording a dollar balance along with a history of changes to that balance.GL Account: General ledger account number.This information is current as of December 31, 2018.",English,City of South Bend,"South Bend, Indiana",,,Finance|Receipts|Disbursements|Accounts|Revenue|Expense,2020-06-09T15:46:17.000Z,,,,"South Bend, Indiana|Ohio","-86.498,41.529,-86.035,41.782",,,,http://data-southbend.opendata.arcgis.com/datasets/f47791a1797f4d608887d743c2c4b7b9_0,,,https://services1.arcgis.com/0n2NelSAfR7gTkr1/arcgis/rest/services/2018_Receipts_and_Disbursements/FeatureServer/0,,f47791a1797f4d608887d743c2c4b7b9_0,,Purdue,09c-01,09c-01,active,ArcGIS Hub,,Public,,FALSE,
,Neighborhood Police Officers (NPOs),Neighborhood Police Officers by Scout Car Areas,English,Detroit Police Department,"City of Detroit, Michigan",Geospatial data,,public safety|police|neighborhoods,2020-06-11T13:53:34.000Z,,,,"Detroit, Michigan|Michigan","-83.2878,42.255,-82.9104,42.4504",Dataset|Service,Vector,Shapefile,http://data.detroitmi.gov/datasets/81ddf1c148064f04a91ccacb68a5b5fe_0,"http://data.detroitmi.gov/datasets/81ddf1c148064f04a91ccacb68a5b5fe_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services2.arcgis.com/qvkbeam7Wirps6zC/arcgis/rest/services/npo_ago/FeatureServer/0,,81ddf1c148064f04a91ccacb68a5b5fe_0,,Michigan,07c-01,07c-01,active,ArcGIS Hub,,Public,,FALSE,
,Review,Active liquor licenses issued by the State of Michigan.,English,City of Detroit,"City of Detroit, Michigan",,,detroit|licensing|liquor|business,2019-12-15T20:27:02.000Z,,,,"Detroit, Michigan|Michigan","-83.316,42.2275,-82.9106,42.4498",,,,http://data.detroitmi.gov/datasets/990a559e64754eb4a2e3cf34fce6516f_1,,,https://services2.arcgis.com/qvkbeam7Wirps6zC/arcgis/rest/services/Liquor_Licenses/FeatureServer/1,,990a559e64754eb4a2e3cf34fce6516f_1,,Michigan,07c-01,07c-01,active,ArcGIS Hub,,Public,,FALSE,
,Liquor Licenses,Active liquor licenses issued by the State of Michigan.,English,City of Detroit,"City of Detroit, Michigan",,,detroit|licensing|liquor|business,2019-12-15T20:27:02.000Z,,,,"Detroit, Michigan|Michigan","-83.316,42.2275,-82.9106,42.4498",,,,http://data.detroitmi.gov/datasets/990a559e64754eb4a2e3cf34fce6516f,,,https://services2.arcgis.com/qvkbeam7Wirps6zC/arcgis/rest/services/Liquor_Licenses/FeatureServer,,990a559e64754eb4a2e3cf34fce6516f,,Michigan,07c-01,07c-01,active,ArcGIS Hub,,Public,,FALSE,
,Maintenance Cost Center,This is a representation of all primary roads as well as parks and institution roads that the Iowa Department of Transportation has the responsibility to maintain. Each maintenance garage is displayed in a different color to show where one area of responsibility ends and another begins. Updated August 2016.ll primary roads that Iowa DOT maintains color-coded by Maintenance Garage.,English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Maintenance|Garage|Asset Classification|Iowa DOT|Iowa Department of Transportation,2020-06-29T13:50:41.000Z,,,,Iowa,"-96.6326,40.3853,-90.1609,43.501",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/87d93a11f1b045faad9ce265bd03ab84_0,"http://public-iowadot.opendata.arcgis.com/datasets/87d93a11f1b045faad9ce265bd03ab84_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Maintenance_Cost_Center_View/FeatureServer/0,,87d93a11f1b045faad9ce265bd03ab84_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Freight Barge Terminal,Barge terminals on the Mississippi and Missouri Rivers in the state of Iowa. This data is part of Iowa's multimodal freight network. These facilities are important for the safe and efficient movement of freight that is demanded by Iowa's large and diverse economy.,English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Transportation|Assets|Transload|Distribution Centers|Inventory,2020-06-16T20:06:59.000Z,,,,Iowa,"-96.387,40.3827,-90.1855,43.3381",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/8c3d1e7caffc48f29653d761c4356662_0,"http://public-iowadot.opendata.arcgis.com/datasets/8c3d1e7caffc48f29653d761c4356662_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Freight_Barge_Terminal_View/FeatureServer/0,,8c3d1e7caffc48f29653d761c4356662_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Maintenance Cost Center,This is a representation of all primary roads as well as parks and institution roads that the Iowa Department of Transportation has the responsibility to maintain. Each maintenance garage is displayed in a different color to show where one area of responsibility ends and another begins. Updated August 2016.ll primary roads that Iowa DOT maintains color-coded by Maintenance Garage.,English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Maintenance|Garage|Asset Classification|Iowa DOT|Iowa Department of Transportation,2020-06-08T16:43:12.000Z,,,,Iowa,"-96.6326,40.3853,-90.1609,43.501",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/a688dc32a6f241a9a2362cf292a319a6_0,"http://public-iowadot.opendata.arcgis.com/datasets/a688dc32a6f241a9a2362cf292a319a6_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Maintenance_Cost_Center_View/FeatureServer/0,,a688dc32a6f241a9a2362cf292a319a6_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Park and Ride,"A combination of existing park and ride lots and candidate park and ride location in the state of Iowa, represented in a point feature.The Iowa Department of Transportation's park and ride system consists of state-owned park or permitted and ride lots. Many of these lots were developed during the 1980s, primarily in response to a growing demand that resulted from an increase in fuel prices. In most cases, lot development was truly the result of grassroots efforts, with Iowa DOT's district offices often responding to specific public requests for park and ride facilities.In 2014, The Iowa Park and Ride System Plan was developed. This plan includes an update of the existing inventory, an identification of additional locations suitable for park and ride facilities, and strategies for implementation .The plan will be used by the Iowa DOT to plan, evaluate, and develop a formal state-owned-and-operated system of park and ride facilities. The primary objective of the plan is to provide a location-specific, priority-based park and ride system that allows for coordinated planning and implementation of park and ride facilities.As a part of the plan this database was created to geographically reference both existing state-owned park and ride facilities and ideal candidates for future expansion of the system. This database will also be used in coordination with the statewide rideshare program, so it will also include other existing park and ride facilities not owned by the state or identified in the plan.Ultimately this inventory has two main purposes that can be described generally as internal and external. Internally, the database will be used to keep track of state-owned inventory and identify opportunities for the expansion of the state-owned and operated park and ride system. Externally, the database will be expanded to include a wide array of park and ride facilities across the state of Iowa that can be disseminated to the public via the Iowa DOT website and coordinated with the rideshare program.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Park and Ride|Ridesharing|Statewide|Iowa DOT|Assets|Inventory,2020-06-29T15:59:10.000Z,,,,Iowa,"-96.4674,40.7267,-90.5391,43.4322",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/f19406b7d6a74256aadc6573b883f743_0,"http://public-iowadot.opendata.arcgis.com/datasets/f19406b7d6a74256aadc6573b883f743_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Park_and_Ride_View/FeatureServer/0,,f19406b7d6a74256aadc6573b883f743_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Park Institutional Federal Land,"This data is comprised of various Park, Institution and Federal Land boundaries used on a daily basis at the DOT. The data is current as of 2013.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Iowa Department of Transportation - Bureau of Systems Planning|Iowa DNR,2020-06-29T18:14:00.000Z,,,,Iowa,"-96.5995,40.417,-90.172,43.5011",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/d71fcd1063ff4ef2bf5e541d157c650f_0,"http://public-iowadot.opendata.arcgis.com/datasets/d71fcd1063ff4ef2bf5e541d157c650f_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Park_Institutional_Federal_Land_View/FeatureServer/0,,d71fcd1063ff4ef2bf5e541d157c650f_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Political Township,"Iowa political townships provide governmental functions that are outside the realm of both county and municipal authority. The main functions of Iowa townships are fire protection, cemetery management, and fence maintenance and boundary dispute resolution within the township.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Political Township|Boundary|Iowa DOT|Iowa Department of Transportation|Reference,2020-07-01T16:15:49.000Z,,,,Iowa,"-96.6397,40.3754,-90.1401,43.5012",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/addcb44a985049388a6dbfddf5b4ab0d_0,"http://public-iowadot.opendata.arcgis.com/datasets/addcb44a985049388a6dbfddf5b4ab0d_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Political_Township_View/FeatureServer/0,,addcb44a985049388a6dbfddf5b4ab0d_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Parking Area,"Point feature class file providing the location, description, and contact information of the Iowa Department of Transportation's Rest and Parking Facilities as well as Weigh Areas. (2015)",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Iowa Department of Transportation|Assets|Inventory,2020-06-29T19:44:48.000Z,,,,Iowa,"-96.2839,40.9921,-91.0863,43.4032",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/2fc5a08e101744a89264d6af8609207c_0,"http://public-iowadot.opendata.arcgis.com/datasets/2fc5a08e101744a89264d6af8609207c_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Parking_Area_View/FeatureServer/0,,2fc5a08e101744a89264d6af8609207c_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Heliport,"Heliport locations and information in Iowa including contact information, location details and more.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Iowa Department of Transportation|Iowa DOT|Aviation|Heliport,2020-06-18T16:24:13.000Z,,,,Iowa,"-96.481,40.4072,-90.1904,43.4243",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/ac4cedb7b1224023bcc70829319636f0_0,"http://public-iowadot.opendata.arcgis.com/datasets/ac4cedb7b1224023bcc70829319636f0_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Heliport_View/FeatureServer/0,,ac4cedb7b1224023bcc70829319636f0_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Airport Runway,"Airport runway locations and information in Iowa including contact information, location details and more.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Airport|Runway|Aviation|Iowa DOT|Iowa Department of Transportation,2020-06-11T19:22:00.000Z,,,,Iowa,"-96.4938,40.4555,-90.3234,43.4564",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/19a7270c30e84ae3b35a8e1b4ff1546c_0,"http://public-iowadot.opendata.arcgis.com/datasets/19a7270c30e84ae3b35a8e1b4ff1546c_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Airport_Runway_View/FeatureServer/0,,19a7270c30e84ae3b35a8e1b4ff1546c_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,PSS Bid Items,Iowa DOT project bid data from Project Scheduling System (PSS) for public use.,English,Iowa Department of Transportation,State of Iowa,,,Asset|Inventory|Improvement|Iowa DOT|Projects|Iowa Department of Transportation|PSS|Project Scheduling,2020-07-01T18:29:19.000Z,,,,Iowa,"-96.6289,40.3883,-90.1861,43.5006",,,,http://public-iowadot.opendata.arcgis.com/datasets/b4715dcccdb643df9bfcd56df1742774_1,,,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Project_Scheduling_Public_Bid_Line_View/FeatureServer/1,,b4715dcccdb643df9bfcd56df1742774_1,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Project Scheduling Bid Items Table,Iowa DOT project bid data from Project Scheduling System (PSS) for public use.,English,Iowa Department of Transportation,State of Iowa,,,Asset|Inventory|Improvement|Iowa DOT|Projects|Iowa Department of Transportation|PSS|Project Scheduling,2020-07-01T17:12:34.000Z,,,,Iowa,"-98.715,38.072,-87.619,45.258",,,,http://public-iowadot.opendata.arcgis.com/datasets/d3b3840942fa492f8033ed6f882bd925_0,,,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Project_Scheduling_Bid_Items_Table/FeatureServer/0,,d3b3840942fa492f8033ed6f882bd925_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Road Network,"Information about all routes in the State of Iowa including Federal, State, County, Municipal, Institutional and Ramp systems. Data is maintained inside the Roadway Asset Management System (RAMS). For additional information on RAMS data, please see https://iowadot.gov/analytics#488921837-data-warehouse.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Iowa DOT|Iowa Department of Transportation|Routes|Roads|Networks|Assets|Inventory,2020-06-26T16:05:40.000Z,,,,Iowa,"-96.6326,40.385,-90.1609,43.501",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/21cd1bc6d5d148fd82dde091c36cd8e3_0,"http://public-iowadot.opendata.arcgis.com/datasets/21cd1bc6d5d148fd82dde091c36cd8e3_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Road_Network_View/FeatureServer/0,,21cd1bc6d5d148fd82dde091c36cd8e3_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,RPA Border View,"Regional Planning Association (RPA) boundaries for the State of Iowa including contact information, location details and more.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Iowa|RPA|Regional Planning Association|Planning|Metropolitan|Iowa DOT|Iowa Deptartment of Transporation|Reference,2020-06-25T18:30:15.000Z,,,,Iowa,"-96.6395,40.3756,-90.1404,43.5012",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/905f9f7d854d4bd7a0a4a52059999367_0,"http://public-iowadot.opendata.arcgis.com/datasets/905f9f7d854d4bd7a0a4a52059999367_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/RPA_Border_View/FeatureServer/0,,905f9f7d854d4bd7a0a4a52059999367_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Adopt-A-Highway Status: Never Adoptable,This layer represents the sections of highway which are never available for adoption within the Adopt-A-Highway program. This symbolization was developed for utilization by the Electronic Permitting System (EPS) at the Iowa Department of Transportation.,English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Asset|Inventory|AAH|Adopt-A-Highway|EPS|Iowa DOT|Iowa Department of Transportation,2020-06-23T19:34:24.000Z,,,,Iowa,"-96.6064,40.3974,-90.1733,43.4996",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/2d9da032b692418ab2e0b8e6662cc59d_0,"http://public-iowadot.opendata.arcgis.com/datasets/2d9da032b692418ab2e0b8e6662cc59d_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/AdoptAHighway_Never_Adoptable_View/FeatureServer/0,,2d9da032b692418ab2e0b8e6662cc59d_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Loess Hills,"This coverage outlines the boundary of the Loess Hills in Iowa at 1:100,000 scale. Criteria applied to the delineation of the Loess Hills included drainage density, drainage divides, density of isolated hillforms, crenulated contours, slopes greater than 15%, presence of catstep features, general loess thickness and earlier mapping. The following sources were utilized: 1:100,000 and 1:24,000 scale USGS topographic maps, USDA-NRCS STATSGO Soil Survey Grid Information, Digital Elevation Module, and the 1:2,000,000 Landforms of Iowa Coverage.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Loess Hills|USGS|Iowa DOT|Iowa Department of Transportation|Assets|Inventory,2020-06-18T20:11:41.000Z,,,,Iowa,"-96.6126,40.6028,-95.6568,42.7499",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/09e217a399134a428b883f96d39debf9_0,"http://public-iowadot.opendata.arcgis.com/datasets/09e217a399134a428b883f96d39debf9_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Loess_Hills_View/FeatureServer/0,,09e217a399134a428b883f96d39debf9_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,ICE Data,"A statewide map that highlight the relative condition of roadway segments including information based not only on the composite Infrastructure Condition Evaluation (ICE) rating, but also each of the seven criteria: PCI, SIA Sufficiency Rating, IRI, Combination Truck AADT, Single Unit Truck AADT, Passenger AADT, and Congestion (V/C). For more information visit: https://www.iowadot.gov/systems_planning/pr_guide/InterstateCorridorPlan.pdf.",English,Iowa Department of Transportation,State of Iowa,Geospatial data,,ICE|Pavement|IRI|PCI|Infrastructure|Condition|Evaluation|AADT|Iowa DOT|Iowa Department of Transportation|Assets|Inventory,2020-06-18T18:46:21.000Z,,,,Iowa,"-96.6326,40.3853,-90.1609,43.501",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/39f8df6272934475be9a840a13504984_0,"http://public-iowadot.opendata.arcgis.com/datasets/39f8df6272934475be9a840a13504984_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/ICE_Data_View/FeatureServer/0,,39f8df6272934475be9a840a13504984_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
,Historic Deer Kill Locations,These records are generated from a view that comes from the Maintenance Resource Management System. The data is input from the field staff who are responsible for removal of the deer from the roadway.,English,Iowa Department of Transportation,State of Iowa,Geospatial data,,Deer|Deer Kill|Maintenance|Iowa DOT|Iowa Department of Transportation|Assets|Inventory,2020-06-18T16:58:25.000Z,,,,Iowa,"-96.6326,40.3853,-90.1718,43.5004",Dataset|Service,Vector,Shapefile,http://public-iowadot.opendata.arcgis.com/datasets/cd44f4bc51cd4c008718b509be22cc01_0,"http://public-iowadot.opendata.arcgis.com/datasets/cd44f4bc51cd4c008718b509be22cc01_0.zip?outSR={""latestWkid"":3857,""wkid"":102100}",,https://services.arcgis.com/8lRhdTsQyJpO52F1/arcgis/rest/services/Historic_Deer_Kill_Locations_View/FeatureServer/0,,cd44f4bc51cd4c008718b509be22cc01_0,,Iowa,03a-02,03a-02,active,ArcGIS Hub,,Public,,FALSE,
